Username,Latitude,Longitude,Timestamp,Predicted Outcome,Probability,Success Count
username,13.0613644,77.556507,2025-06-02 22:59:05,Resolved,0.43,0
username,13.0613644,77.556507,2025-06-02 22:59:08,Resolved,0.43,0
username,13.0613644,77.556507,2025-06-02 22:59:16,Resolved,0.43,0
username,13.0187264,77.5847936,2025-06-03 10:48:25,Resolved,0.43,0
username,13.0187264,77.5847936,2025-06-03 10:48:29,Resolved,0.43,0
chethna,13.0613597,77.5564747,2025-06-03 12:11:33,Resolved,0.43,1
akshh,13.0613554,77.5564608,2025-06-03 12:13:38,Resolved,0.43,1
chethna,12.9794048,77.6798208,2025-06-03 12:33:38,Resolved,0.43,1
chethna,12.9794048,77.6798208,2025-06-03 13:05:44,Resolved,0.43,1
chethna,12.9728512,77.6208384,2025-06-04 13:52:49,Resolved,0.43,1
chethna,12.9728512,77.6208384,2025-06-04 13:57:07,Resolved,0.43,1
chethna,12.9728512,77.6208384,2025-06-04 13:58:59,Resolved,0.43,1
chethna,12.9728512,77.6208384,2025-06-04 14:08:29,Resolved,0.43,1
ramya,12.9728512,77.6208384,2025-06-04 14:18:04,Resolved,0.43,1
ramya,13.0613698,77.5564207,2025-06-05 09:29:07,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 09:35:16,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 09:37:33,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 09:38:57,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 09:45:22,Resolved,0.43,1
chethna,13.0613664,77.5564293,2025-06-05 09:46:32,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 09:50:26,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 10:11:49,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 10:13:32,Resolved,0.43,1
chethna,13.061367,77.5564346,2025-06-05 10:18:32,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 10:25:55,Resolved,0.43,1
akshh,13.0613669,77.5564325,2025-06-05 10:28:29,Resolved,0.43,1
akshh,13.0613669,77.5564325,2025-06-05 10:29:22,Resolved,0.43,1
chethna,13.0318336,77.5487488,2025-06-05 10:30:53,Resolved,0.43,1
