Device Type,GPS Coordinates,Panic Button Activation,Incident Type,Response Time (minutes),Response Outcome,Date,Time,Day,Location Type,Age,Emergency Contact Status
Smartwatch,"(15.604475, 80.136302)",Yes,Teasing,9,Resolved,20-12-2024,13:01,Friday,Safe Zone,21,Notified with Confirmation
Smartwatch,"(15.508561, 80.045117)",No,Teasing,18,Resolved,07-02-2024,13:47,Wednesday,Moderate-risk Zone,20,Notified with Confirmation
Panic Button Device,"(15.574849, 80.011783)",No,Assault,15,In Progress,17-10-2024,08:04,Thursday,Moderate-risk Zone,42,Notified with Delay
Smartwatch,"(15.660144, 80.139405)",Yes,Assault,15,In Progress,04-06-2024,20:31,Tuesday,Safe Zone,43,Notified with Confirmation
Smartwatch,"(15.537836, 80.007227)",No,Assault,26,Resolved,10-02-2024,05:11,Saturday,High-risk Zone,37,Notified with Delay
Mobile,"(15.696739, 80.158383)",Yes,Teasing,2,Unresolved,21-01-2024,00:49,Sunday,High-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.550307, 80.056338)",No,Teasing,14,Unresolved,17-09-2024,13:34,Tuesday,High-risk Zone,20,Notified with Confirmation
Smartwatch,"(15.68409, 80.086376)",No,Teasing,14,Resolved,26-05-2024,10:33,Sunday,Safe Zone,35,Notified
Smartwatch,"(15.599904, 80.160613)",Yes,Assault,10,In Progress,14-07-2024,10:44,Sunday,Moderate-risk Zone,37,Notified with Confirmation
Mobile,"(15.587344, 80.093714)",Yes,Assault,9,In Progress,16-11-2024,17:14,Saturday,Moderate-risk Zone,30,Notified with Confirmation
Mobile,"(15.539534, 80.053189)",No,Teasing,25,Resolved,20-01-2024,10:50,Saturday,High-risk Zone,37,Notified with Confirmation
Mobile,"(15.664891, 80.031278)",Yes,Teasing,16,Resolved,03-03-2024,08:23,Sunday,Safe Zone,31,Notified with Confirmation
Panic Button Device,"(15.620929, 80.148769)",No,Teasing,4,Resolved,11-12-2024,06:28,Wednesday,High-risk Zone,15,Notified with Confirmation
Panic Button Device,"(15.632161, 80.048959)",Yes,Teasing,4,Unresolved,29-04-2024,14:20,Monday,Moderate-risk Zone,19,Notified with Delay
Smartwatch,"(15.650829, 80.078909)",No,Teasing,22,Resolved,03-01-2024,16:02,Wednesday,Safe Zone,41,Notified with Confirmation
Mobile,"(15.667117, 80.114662)",Yes,Teasing,8,In Progress,11-06-2024,10:36,Tuesday,High-risk Zone,19,Notified with Delay
Panic Button Device,"(15.516736, 80.085223)",No,Teasing,20,In Progress,31-08-2024,00:11,Saturday,Moderate-risk Zone,24,Notified
Smartwatch,"(15.534977, 80.04392)",Yes,Teasing,9,Unresolved,08-03-2024,14:18,Friday,High-risk Zone,36,Notified
Mobile,"(15.65559, 80.010653)",No,Teasing,30,Resolved,23-05-2024,13:18,Thursday,Moderate-risk Zone,35,Notified with Delay
Smartwatch,"(15.655579, 80.063596)",No,Teasing,19,In Progress,18-09-2024,19:12,Wednesday,Safe Zone,35,Notified with Confirmation
Smartwatch,"(15.503494, 80.110001)",Yes,Teasing,14,In Progress,23-08-2024,07:24,Friday,High-risk Zone,33,Notified
Smartwatch,"(15.511391, 80.195189)",Yes,Teasing,24,Unresolved,18-12-2024,21:28,Wednesday,Safe Zone,22,Notified with Delay
Panic Button Device,"(15.621665, 80.060228)",No,Assault,25,In Progress,03-06-2024,20:42,Monday,Moderate-risk Zone,36,Notified with Confirmation
Smartwatch,"(15.544608, 80.090446)",Yes,Assault,4,In Progress,30-11-2024,09:43,Saturday,Moderate-risk Zone,40,Notified
Panic Button Device,"(15.562244, 80.130921)",Yes,Teasing,7,Unresolved,28-06-2024,22:22,Friday,Safe Zone,25,Notified
Smartwatch,"(15.503757, 80.184174)",Yes,Assault,23,Resolved,15-10-2024,20:39,Tuesday,Safe Zone,23,Notified with Delay
Mobile,"(15.616629, 80.074091)",Yes,Teasing,24,In Progress,23-09-2024,13:14,Monday,High-risk Zone,45,Notified with Confirmation
Panic Button Device,"(15.559059, 80.182871)",Yes,Teasing,24,Unresolved,10-11-2024,22:19,Sunday,Safe Zone,26,Notified with Confirmation
Smartwatch,"(15.662678, 80.085176)",No,Assault,5,In Progress,14-04-2024,17:48,Sunday,Safe Zone,18,Notified
Panic Button Device,"(15.532177, 80.109424)",No,Assault,13,Unresolved,20-02-2024,11:55,Tuesday,High-risk Zone,42,Notified with Confirmation
Mobile,"(15.69807, 80.005938)",No,Teasing,17,In Progress,20-01-2024,06:46,Saturday,High-risk Zone,19,Notified
Smartwatch,"(15.515869, 80.068505)",Yes,Teasing,6,Unresolved,20-07-2024,06:10,Saturday,Safe Zone,42,Notified with Confirmation
Mobile,"(15.660199, 80.093315)",Yes,Assault,10,Resolved,07-12-2024,16:34,Saturday,Moderate-risk Zone,26,Notified
Panic Button Device,"(15.544675, 80.079235)",Yes,Assault,15,Resolved,21-10-2024,11:06,Monday,Moderate-risk Zone,40,Notified with Delay
Panic Button Device,"(15.528757, 80.189131)",No,Assault,27,In Progress,25-03-2024,10:37,Monday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.653872, 80.098399)",No,Teasing,29,In Progress,10-10-2024,14:46,Thursday,High-risk Zone,28,Notified with Confirmation
Mobile,"(15.514824, 80.168366)",Yes,Teasing,28,In Progress,28-11-2024,13:52,Thursday,Safe Zone,20,Notified
Mobile,"(15.595124, 80.079478)",Yes,Teasing,8,In Progress,26-08-2024,18:18,Monday,Safe Zone,32,Notified with Confirmation
Panic Button Device,"(15.622513, 80.176155)",No,Assault,24,Unresolved,18-08-2024,05:45,Sunday,High-risk Zone,35,Notified with Confirmation
Smartwatch,"(15.694403, 80.169614)",No,Teasing,13,Resolved,17-09-2024,13:28,Tuesday,Moderate-risk Zone,22,Notified with Confirmation
